side_length,board_size,matchup,round,action_index,actor,actor_policy,first_actor,p_controlled,e_controlled,neutral_fields,actor_controlled_before,opponent_controlled_before,actor_non_core_before,opponent_non_core_before,territory_threshold,actor_to_threshold_before,opponent_to_threshold_before,actor_behind_before,p_resources_before,e_resources_before,rank,candidate_action_type,candidate_target,candidate_field_type,candidate_category,raw_score,weight,total_score,reasons,chosen,chosen_ok,chosen_message,winner_after
4,37,utility_balancer_vs_phase_player,2,2,player,utility_balancer,enemy,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 1}","{""Holz"": 1, ""Korn"": 5, ""Stein"": 0}",2,wait,,,fallback,0.0500,1.0000,0.0500,fallback,False,,,
4,37,utility_balancer_vs_phase_player,2,3,player,utility_balancer,enemy,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 1}","{""Holz"": 1, ""Korn"": 5, ""Stein"": 0}",1,wait,,,fallback,0.0500,1.0000,0.0500,fallback,True,True,player waits.,
4,37,utility_balancer_vs_phase_player,3,1,player,utility_balancer,player,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 1, ""Korn"": 0, ""Stein"": 3}","{""Holz"": 4, ""Korn"": 6, ""Stein"": 0}",1,fortify,"(-1, 0)",,defense,24.5667,1.0000,24.5667,type=Stein | shield=0 | enemy_neighbors=1 | contested=0 | cost_korn=2,True,True,"player fortifies (-1, 0) for 2 Korn. raid_shield=1/3.",
4,37,utility_balancer_vs_phase_player,3,1,player,utility_balancer,player,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 1, ""Korn"": 0, ""Stein"": 3}","{""Holz"": 4, ""Korn"": 6, ""Stein"": 0}",2,field_upgrade,"(-3, 1)",,development,16.8000,1.1000,18.4800,type=Stein | level=1 | stein_pressure=0.50 | cost_stein=3,False,,,
4,37,utility_balancer_vs_phase_player,3,1,player,utility_balancer,player,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 1, ""Korn"": 0, ""Stein"": 3}","{""Holz"": 4, ""Korn"": 6, ""Stein"": 0}",3,field_upgrade,"(-2, 0)",,development,16.8000,1.1000,18.4800,type=Holz | level=1 | stein_pressure=0.50 | cost_stein=3,False,,,
4,37,utility_balancer_vs_phase_player,3,1,player,utility_balancer,player,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 1, ""Korn"": 0, ""Stein"": 3}","{""Holz"": 4, ""Korn"": 6, ""Stein"": 0}",4,field_upgrade,"(-1, 0)",,development,16.8000,1.1000,18.4800,type=Stein | level=1 | stein_pressure=0.50 | cost_stein=3,False,,,
4,37,utility_balancer_vs_phase_player,3,1,player,utility_balancer,player,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 1, ""Korn"": 0, ""Stein"": 3}","{""Holz"": 4, ""Korn"": 6, ""Stein"": 0}",5,wait,,,fallback,0.0500,1.0000,0.0500,fallback,False,,,
4,37,utility_balancer_vs_phase_player,3,2,player,utility_balancer,player,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 1, ""Korn"": 0, ""Stein"": 0}","{""Holz"": 4, ""Korn"": 6, ""Stein"": 0}",1,field_upgrade,"(-3, 1)",,development,16.8000,1.1000,18.4800,type=Stein | level=1 | stein_pressure=0.50 | cost_stein=3,True,True,"player upgrades (-3, 1) to level 2 for 3 Stein.",
4,37,utility_balancer_vs_phase_player,3,2,player,utility_balancer,player,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 1, ""Korn"": 0, ""Stein"": 0}","{""Holz"": 4, ""Korn"": 6, ""Stein"": 0}",2,field_upgrade,"(-2, 0)",,development,16.8000,1.1000,18.4800,type=Holz | level=1 | stein_pressure=0.50 | cost_stein=3,False,,,
4,37,utility_balancer_vs_phase_player,3,2,player,utility_balancer,player,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 1, ""Korn"": 0, ""Stein"": 0}","{""Holz"": 4, ""Korn"": 6, ""Stein"": 0}",3,field_upgrade,"(-1, 0)",,development,16.8000,1.1000,18.4800,type=Stein | level=1 | stein_pressure=0.50 | cost_stein=3,False,,,
4,37,utility_balancer_vs_phase_player,3,2,player,utility_balancer,player,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 1, ""Korn"": 0, ""Stein"": 0}","{""Holz"": 4, ""Korn"": 6, ""Stein"": 0}",4,wait,,,fallback,0.0500,1.0000,0.0500,fallback,False,,,
4,37,utility_balancer_vs_phase_player,3,3,player,utility_balancer,player,4,4,29,4,4,3,3,23,19,19,False,"{""Holz"": 1, ""Korn"": 0, ""Stein"": 0}","{""Holz"": 4, ""Korn"": 6, ""Stein"": 0}",1,wait,,,fallback,0.0500,1.0000,0.0500,fallback,True,True,player waits.,
4,37,utility_balancer_vs_phase_player,4,1,player,utility_balancer,enemy,5,7,26,4,7,3,6,23,19,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 0, ""Korn"": 2, ""Stein"": 2}",1,build,"(-1, -1)",Korn,expansion,36.2921,1.2500,45.3651,type=Korn | need=0.83 | own_neighbors=2 | enemy_neighbors=1 | cost_holz=2,True,True,"player builds Korn at (-1, -1) for 2 Holz.",
4,37,utility_balancer_vs_phase_player,4,1,player,utility_balancer,enemy,5,7,26,4,7,3,6,23,19,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 0, ""Korn"": 2, ""Stein"": 2}",2,build,"(-1, -1)",Holz,expansion,34.0671,1.2500,42.5839,type=Holz | need=0.67 | own_neighbors=2 | enemy_neighbors=1 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,4,1,player,utility_balancer,enemy,5,7,26,4,7,3,6,23,19,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 0, ""Korn"": 2, ""Stein"": 2}",3,build,"(-1, -1)",Stein,expansion,32.0671,1.2500,40.0839,type=Stein | need=0.50 | own_neighbors=2 | enemy_neighbors=1 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,4,1,player,utility_balancer,enemy,5,7,26,4,7,3,6,23,19,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 0, ""Korn"": 2, ""Stein"": 2}",4,build,"(-2, -1)",Korn,expansion,31.4588,1.2500,39.3235,type=Korn | need=0.83 | own_neighbors=2 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,4,1,player,utility_balancer,enemy,5,7,26,4,7,3,6,23,19,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 0, ""Korn"": 2, ""Stein"": 2}",5,build,"(-3, 2)",Korn,expansion,30.4588,1.2500,38.0735,type=Korn | need=0.83 | own_neighbors=1 | enemy_neighbors=1 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,4,2,player,utility_balancer,enemy,5,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 0}","{""Holz"": 0, ""Korn"": 2, ""Stein"": 2}",1,field_upgrade,"(-2, 0)",,development,16.8000,1.1000,18.4800,type=Holz | level=1 | stein_pressure=0.50 | cost_stein=3,True,True,"player upgrades (-2, 0) to level 2 for 3 Stein.",
4,37,utility_balancer_vs_phase_player,4,2,player,utility_balancer,enemy,5,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 0}","{""Holz"": 0, ""Korn"": 2, ""Stein"": 2}",2,wait,,,fallback,0.0500,1.0000,0.0500,fallback,False,,,
4,37,utility_balancer_vs_phase_player,4,3,player,utility_balancer,enemy,5,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 0}","{""Holz"": 0, ""Korn"": 2, ""Stein"": 2}",1,wait,,,fallback,0.0500,1.0000,0.0500,fallback,True,True,player waits.,
4,37,utility_balancer_vs_phase_player,5,1,player,utility_balancer,player,5,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 2, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",1,fortify,"(-1, 0)",,defense,65.5667,1.0000,65.5667,type=Stein | shield=0 | enemy_neighbors=4 | contested=1 | cost_korn=2,True,True,"player fortifies (-1, 0) for 2 Korn. raid_shield=1/3.",
4,37,utility_balancer_vs_phase_player,5,1,player,utility_balancer,player,5,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 2, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",2,build,"(-2, -1)",Holz,expansion,33.8959,1.2500,42.3699,type=Holz | need=0.67 | own_neighbors=3 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,5,1,player,utility_balancer,player,5,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 2, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",3,build,"(-2, -1)",Korn,expansion,32.1209,1.2500,40.1512,type=Korn | need=0.50 | own_neighbors=3 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,5,1,player,utility_balancer,player,5,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 2, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",4,build,"(-2, -1)",Stein,expansion,31.8959,1.2500,39.8699,type=Stein | need=0.50 | own_neighbors=3 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,5,1,player,utility_balancer,player,5,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 2, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",5,build,"(0, -2)",Holz,expansion,29.7293,1.2500,37.1616,type=Holz | need=0.67 | own_neighbors=1 | enemy_neighbors=1 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,5,2,player,utility_balancer,player,6,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",1,build,"(-2, -1)",Korn,expansion,36.1209,1.2500,45.1512,type=Korn | need=0.83 | own_neighbors=3 | enemy_neighbors=0 | cost_holz=2,True,True,"player builds Korn at (-2, -1) for 2 Holz.",
4,37,utility_balancer_vs_phase_player,5,2,player,utility_balancer,player,6,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",2,build,"(-2, -1)",Holz,expansion,33.8959,1.2500,42.3699,type=Holz | need=0.67 | own_neighbors=3 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,5,2,player,utility_balancer,player,6,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",3,build,"(0, -2)",Korn,expansion,31.9543,1.2500,39.9428,type=Korn | need=0.83 | own_neighbors=1 | enemy_neighbors=1 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,5,2,player,utility_balancer,player,6,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",4,build,"(-2, -1)",Stein,expansion,31.8959,1.2500,39.8699,type=Stein | need=0.50 | own_neighbors=3 | enemy_neighbors=0 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,5,2,player,utility_balancer,player,6,7,25,5,7,4,6,23,18,16,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",5,build,"(-3, 2)",Korn,expansion,30.6209,1.2500,38.2762,type=Korn | need=0.83 | own_neighbors=1 | enemy_neighbors=1 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,5,3,player,utility_balancer,player,7,6,24,6,7,5,6,23,17,16,True,"{""Holz"": 0, ""Korn"": 0, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",1,raid,"(-2, 1)",,aggression,24.1333,1.0500,25.3400,target_type=Stein | level=1 | shield=0 | cost_korn=1 | opponent_non_core=6,True,True,"player raids (-2, 1) for 1 Korn. contested=1, active_from_round=6.",
4,37,utility_balancer_vs_phase_player,5,3,player,utility_balancer,player,7,6,24,6,7,5,6,23,17,16,True,"{""Holz"": 0, ""Korn"": 0, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 5}",2,wait,,,fallback,0.0500,1.0000,0.0500,fallback,False,,,
4,37,utility_balancer_vs_phase_player,6,1,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 3, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",1,core_upgrade,"(-3, 0)",,development,26.5000,1.1000,29.1500,avg_resource_pressure=0.61 | cost_stein=4,True,True,player upgrades Core to level 2 for 4 Stein.,
4,37,utility_balancer_vs_phase_player,6,1,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 3, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",2,fortify,"(-1, -1)",,defense,24.8167,1.0000,24.8167,type=Korn | shield=0 | enemy_neighbors=1 | contested=0 | cost_korn=2,False,,,
4,37,utility_balancer_vs_phase_player,6,1,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 3, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",3,raid,"(0, -1)",,aggression,22.0667,1.0500,23.1700,target_type=Stein | level=1 | shield=0 | cost_korn=3 | opponent_non_core=8,False,,,
4,37,utility_balancer_vs_phase_player,6,1,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 3, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",4,field_upgrade,"(-2, -1)",,development,19.9000,1.1000,21.8900,type=Korn | level=1 | stein_pressure=1.00 | cost_stein=4,False,,,
4,37,utility_balancer_vs_phase_player,6,1,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 3, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",5,field_upgrade,"(-1, -1)",,development,19.9000,1.1000,21.8900,type=Korn | level=1 | stein_pressure=1.00 | cost_stein=4,False,,,
4,37,utility_balancer_vs_phase_player,6,2,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 1, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",1,fortify,"(-1, -1)",,defense,24.8167,1.0000,24.8167,type=Korn | shield=0 | enemy_neighbors=1 | contested=0 | cost_korn=2,True,True,"player fortifies (-1, -1) for 2 Korn. raid_shield=1/3.",
4,37,utility_balancer_vs_phase_player,6,2,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 1, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",2,raid,"(0, -1)",,aggression,22.0667,1.0500,23.1700,target_type=Stein | level=1 | shield=0 | cost_korn=3 | opponent_non_core=8,False,,,
4,37,utility_balancer_vs_phase_player,6,2,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 1, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",3,rebuild,"(-2, -1)",Holz,economy,14.7667,1.2000,17.7200,old_type=Korn | new_type=Holz | new_need=0.83 | old_pressure=0.25 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,6,2,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 1, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",4,rebuild,"(-2, -1)",Stein,economy,14.7667,1.2000,17.7200,old_type=Korn | new_type=Stein | new_need=0.83 | old_pressure=0.25 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,6,2,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 1, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",5,rebuild,"(-1, -1)",Holz,economy,14.7667,1.2000,17.7200,old_type=Korn | new_type=Holz | new_need=0.83 | old_pressure=0.25 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,6,3,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",1,rebuild,"(-3, 1)",Korn,economy,15.4333,1.2000,18.5200,old_type=Stein | new_type=Korn | new_need=0.92 | old_pressure=0.17 | cost_holz=2,True,True,"player rebuilds (-3, 1): Stein -> Korn for 2 Holz.",
4,37,utility_balancer_vs_phase_player,6,3,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",2,rebuild,"(-2, 0)",Korn,economy,15.4333,1.2000,18.5200,old_type=Holz | new_type=Korn | new_need=0.92 | old_pressure=0.17 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,6,3,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",3,rebuild,"(-3, 1)",Holz,economy,14.2667,1.2000,17.1200,old_type=Stein | new_type=Holz | new_need=0.83 | old_pressure=0.17 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,6,3,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",4,rebuild,"(-2, 0)",Stein,economy,14.2667,1.2000,17.1200,old_type=Holz | new_type=Stein | new_need=0.83 | old_pressure=0.17 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,6,3,player,utility_balancer,enemy,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 0, ""Korn"": 1, ""Stein"": 2}","{""Holz"": 0, ""Korn"": 1, ""Stein"": 4}",5,rebuild,"(-2, -1)",Holz,economy,13.7667,1.2000,16.5200,old_type=Korn | new_type=Holz | new_need=0.83 | old_pressure=0.08 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,7,1,player,utility_balancer,player,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 4, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 7}",1,fortify,"(-1, 0)",,defense,70.5667,1.0000,70.5667,type=Stein | shield=0 | enemy_neighbors=4 | contested=2 | cost_korn=2,True,True,"player fortifies (-1, 0) for 2 Korn. raid_shield=1/3.",
4,37,utility_balancer_vs_phase_player,7,1,player,utility_balancer,player,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 4, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 7}",2,fortify,"(-3, 1)",,defense,31.8833,1.0000,31.8833,type=Korn | shield=1 | enemy_neighbors=2 | contested=0 | cost_korn=4,False,,,
4,37,utility_balancer_vs_phase_player,7,1,player,utility_balancer,player,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 4, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 7}",3,raid,"(0, -1)",,aggression,24.2667,1.0500,25.4800,target_type=Stein | level=1 | shield=0 | cost_korn=2 | opponent_non_core=8,False,,,
4,37,utility_balancer_vs_phase_player,7,1,player,utility_balancer,player,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 4, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 7}",4,rebuild,"(-1, 0)",Holz,economy,16.7667,1.2000,20.1200,old_type=Stein | new_type=Holz | new_need=0.83 | old_pressure=0.25 | cost_holz=2,False,,,
4,37,utility_balancer_vs_phase_player,7,1,player,utility_balancer,player,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 4, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 7}",5,fortify,"(-2, 0)",,defense,19.6333,1.0000,19.6333,type=Holz | shield=1 | enemy_neighbors=1 | contested=0 | cost_korn=4,False,,,
4,37,utility_balancer_vs_phase_player,7,2,player,utility_balancer,player,6,9,22,6,9,5,8,23,17,14,True,"{""Holz"": 2, ""Korn"": 0, ""Stein"": 3}","{""Holz"": 3, ""Korn"": 3, ""Stein"": 7}",1,fortify,"(-1, 0)",,defense,64.9667,1.0000,64.9667,type=Stein | shield=1 | enemy_neighbors=4 | contested=2 | cost_korn=4,True,True,"player fortifies (-1, 0) for 4 Korn. raid_shield=2/3.",
