side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,natural_winner,natural_win_reason,timeout_margin,timeout_controlled_diff,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
5,61,phase_player_vs_rusher,phase_player,rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,102,37,51,51,29,32,28,31,0,57,289,248,41,52,47,56,2,104,33,121,52,47,23,24,168,0,0,81,87,167,1803,9,401,2401,12,12,12,0,12,12,11,11,1
5,61,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,51,37,26,25,31,30,30,29,0,57,126,75,51,88,0,14,2,17,20,73,38,0,8,37,53,50,0,9,57,84,520,131,50,239,12,12,8,0,12,12,28,36,3
5,61,phase_player_vs_utility_rusher,phase_player,utility_rusher,enemy,territory,enemy,territory,5,0,46,37,23,23,13,37,12,36,11,46,128,91,37,52,5,16,2,23,16,53,32,5,13,30,75,20,0,10,0,45,247,74,123,345,7,12,12,7,12,8,10,15,3
5,61,phase_player_vs_utility_economist,phase_player,utility_economist,player,full_board_majority,player,full_board_majority,5,0,46,37,23,23,32,29,31,28,0,57,122,89,33,59,1,17,2,18,27,51,39,1,11,30,71,20,0,7,81,62,410,201,83,149,0,11,9,12,7,8,20,26,3
5,61,phase_player_vs_utility_fortifier,phase_player,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,97,37,49,48,35,26,34,25,0,57,372,285,87,121,0,9,2,18,24,183,68,0,8,33,189,53,0,10,283,221,1213,558,118,315,0,2,9,12,12,12,21,25,3
5,61,phase_player_vs_utility_aggro_turtle,phase_player,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,52,37,26,26,31,30,30,29,0,57,121,60,61,99,1,13,2,17,21,72,39,1,8,36,49,60,0,9,59,84,495,131,41,234,0,12,12,9,12,1,26,37,3
5,61,phase_player_vs_utility_opportunist,phase_player,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,51,37,26,25,30,31,29,30,0,57,149,107,42,68,0,12,2,16,21,80,33,0,8,36,69,35,0,8,41,61,451,115,103,231,11,12,9,0,12,12,20,24,3
5,61,rusher_vs_phase_player,rusher,phase_player,enemy,territory,enemy,territory,5,0,66,37,33,33,22,37,21,36,2,55,168,143,25,34,18,38,2,78,23,95,0,2,59,32,73,34,16,19,3,17,617,43,57,994,4,11,12,12,10,7,9,9,1
5,61,rusher_vs_rusher,rusher,rusher,enemy,timeout_majority,,none,5,-9,121,37,60,60,22,31,21,30,8,49,433,433,0,0,6,22,2,208,29,212,0,4,105,20,221,0,2,103,14,0,784,1,26,1856,10,2,11,6,6,7,0,0,0
5,61,rusher_vs_utility_balancer,rusher,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,55,37,28,27,34,27,33,26,0,57,184,147,37,48,0,3,2,31,19,117,0,0,26,38,67,48,0,5,59,46,475,68,47,164,0,12,12,12,12,12,2,3,2
5,61,rusher_vs_utility_rusher,rusher,utility_rusher,enemy,territory,enemy,territory,5,0,42,37,21,21,13,37,12,36,11,46,110,98,12,30,1,7,2,52,17,58,0,0,47,29,52,30,1,5,0,0,126,99,95,316,4,6,12,9,12,8,13,18,3
5,61,rusher_vs_utility_economist,rusher,utility_economist,,timeout_draw,,none,5,1,121,37,60,60,29,28,28,27,4,53,363,254,109,165,15,15,2,107,21,239,0,0,99,32,124,165,15,8,480,0,1199,800,110,594,5,10,12,12,2,0,14,39,3
5,61,rusher_vs_utility_fortifier,rusher,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,47,37,24,23,34,27,33,26,0,57,148,115,33,38,0,5,2,27,21,96,0,0,21,36,52,38,0,6,40,34,477,75,28,124,0,12,12,12,12,12,1,1,1
5,61,rusher_vs_utility_aggro_turtle,rusher,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,51,37,26,25,34,27,33,26,0,57,175,142,33,40,0,5,2,27,22,109,0,0,21,35,66,40,0,6,39,53,556,143,26,117,4,12,6,0,12,6,0,0,0
5,61,rusher_vs_utility_opportunist,rusher,utility_opportunist,player,full_board_majority,player,full_board_majority,5,0,73,37,37,36,33,28,32,27,0,57,275,224,51,67,0,4,2,33,23,167,0,0,28,34,108,67,0,5,15,77,754,132,78,394,5,12,7,0,12,6,6,8,3
5,61,utility_balancer_vs_phase_player,utility_balancer,phase_player,enemy,territory,enemy,territory,5,0,50,37,25,25,22,37,21,36,2,55,121,100,21,59,2,19,2,39,26,62,32,2,15,29,59,27,0,24,141,117,221,96,37,509,12,12,12,8,10,5,21,36,3
5,61,utility_balancer_vs_rusher,utility_balancer,rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,54,37,27,27,26,35,25,34,0,57,183,147,36,44,1,3,2,32,41,65,44,1,5,16,118,0,0,27,158,16,124,150,0,482,0,12,12,7,11,8,0,0,0
5,61,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,enemy,full_board_majority,enemy,full_board_majority,5,0,46,37,23,23,29,32,28,31,0,57,45,34,11,153,1,6,2,10,27,24,75,1,5,30,21,78,0,5,120,136,194,91,49,254,0,12,12,9,12,6,50,142,3
5,61,utility_balancer_vs_utility_rusher,utility_balancer,utility_rusher,enemy,territory,enemy,territory,5,0,26,37,13,13,14,37,13,36,10,47,63,58,5,17,2,6,2,16,30,21,9,0,11,17,42,8,2,5,9,46,36,159,46,44,11,12,12,12,12,8,12,12,1
5,61,utility_balancer_vs_utility_economist,utility_balancer,utility_economist,enemy,full_board_majority,enemy,full_board_majority,5,0,41,37,21,20,30,31,29,30,0,57,46,37,9,122,0,7,2,10,27,22,65,0,5,30,24,57,0,5,70,87,201,64,116,191,7,12,0,0,12,12,45,113,3
5,61,utility_balancer_vs_utility_fortifier,utility_balancer,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,41,37,21,20,31,30,30,29,0,57,37,23,14,125,4,7,2,12,26,23,62,3,5,31,14,63,1,7,184,71,117,89,53,220,0,12,6,0,12,12,43,111,3
5,61,utility_balancer_vs_utility_aggro_turtle,utility_balancer,utility_aggro_turtle,enemy,territory,enemy,territory,5,0,44,37,22,22,23,37,22,36,1,56,53,16,37,98,20,16,2,15,21,31,39,16,10,35,22,59,4,5,144,141,189,71,87,221,12,12,12,0,12,11,32,56,3
5,61,utility_balancer_vs_utility_opportunist,utility_balancer,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,43,37,22,21,29,32,28,31,0,57,51,39,12,122,2,6,2,16,28,27,58,1,11,29,24,64,1,5,91,83,234,147,53,153,9,12,7,0,12,12,41,110,3
5,61,utility_rusher_vs_phase_player,utility_rusher,phase_player,player,territory,player,territory,5,0,45,37,23,22,37,15,36,14,9,48,122,87,35,48,3,19,2,24,26,77,13,0,14,22,45,35,3,10,40,161,260,3,31,376,8,12,8,12,6,12,10,13,3
