side_length,matchup,round,actor,actor_policy,action_index,candidate_action_type,candidate_target,candidate_source,candidate_field_type,tunnel_score,normal_baseline,opportunity_cost,chosen,reasons
4,utility_tunneler_vs_phase_player,4,player,utility_tunneler,1,tunnel_entrance,"(-3, 1)",,,0.201,2.2116,2.0106,F,resource_fit:0.0625|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0385|opportunity_cost:-2.0106
4,utility_tunneler_vs_phase_player,4,player,utility_tunneler,1,tunnel_entrance,"(-2, 0)",,,0.251,2.2116,1.9606,F,resource_fit:0.0625|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0385|opportunity_cost:-1.9606
4,utility_tunneler_vs_phase_player,4,player,utility_tunneler,1,tunnel_entrance,"(-1, 0)",,,0.151,2.2116,2.0606,F,resource_fit:0.0625|tunnel_access_gain:0.0500|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0385|opportunity_cost:-2.0606
4,utility_tunneler_vs_phase_player,4,player,utility_tunneler,1,wait,,,,0.0,2.2116,2.2116,F,opportunity_cost:-2.2116
4,utility_tunneler_vs_phase_player,4,player,utility_tunneler,2,tunnel_entrance,"(-3, 1)",,,0.2067,0.1621,0.0,F,resource_fit:0.0208|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0358|opportunity_cost:-0.0000
4,utility_tunneler_vs_phase_player,4,player,utility_tunneler,2,tunnel_entrance,"(-2, 0)",,,0.2567,0.1621,0.0,T,resource_fit:0.0208|tunnel_access_gain:0.2000|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0358|opportunity_cost:-0.0000
4,utility_tunneler_vs_phase_player,4,player,utility_tunneler,2,tunnel_entrance,"(-1, 0)",,,0.1567,0.1621,0.0054,F,resource_fit:0.0208|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0000|collapse_risk:-0.0000|territory_pressure:0.0358|opportunity_cost:-0.0054
4,utility_tunneler_vs_phase_player,4,player,utility_tunneler,2,wait,,,,0.0,0.1621,0.1621,F,opportunity_cost:-0.1621
4,utility_tunneler_vs_phase_player,4,player,utility_tunneler,3,wait,,,,0.0,0.1621,0.1621,F,opportunity_cost:-0.1621
4,utility_tunneler_vs_phase_player,5,player,utility_tunneler,1,tunnel_entrance,"(-3, 1)",,,0.2533,2.0969,1.8435,F,resource_fit:0.0625|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0050|collapse_risk:-0.0000|territory_pressure:0.0358|opportunity_cost:-1.8435
4,utility_tunneler_vs_phase_player,5,player,utility_tunneler,1,tunnel_entrance,"(-2, 1)",,,0.2533,2.0969,1.8435,F,resource_fit:0.0625|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0050|collapse_risk:-0.0000|territory_pressure:0.0358|opportunity_cost:-1.8435
4,utility_tunneler_vs_phase_player,5,player,utility_tunneler,1,tunnel_entrance,"(-1, 0)",,,0.2033,2.0969,1.8935,F,resource_fit:0.0625|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0050|collapse_risk:-0.0000|territory_pressure:0.0358|opportunity_cost:-1.8935
4,utility_tunneler_vs_phase_player,5,player,utility_tunneler,1,tunnel_extend,"(-3, 1)","(-2, 0)",,0.1433,2.0969,1.9535,F,resource_fit:0.0667|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0075|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0358|opportunity_cost:-1.9535
4,utility_tunneler_vs_phase_player,5,player,utility_tunneler,1,tunnel_extend,"(-2, 1)","(-2, 0)",,0.1433,2.0969,1.9535,F,resource_fit:0.0667|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0075|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0358|opportunity_cost:-1.9535
4,utility_tunneler_vs_phase_player,5,player,utility_tunneler,1,tunnel_extend,"(-1, 0)","(-2, 0)",,0.1433,2.0969,1.9535,F,resource_fit:0.0667|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0075|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0358|opportunity_cost:-1.9535
4,utility_tunneler_vs_phase_player,5,player,utility_tunneler,1,wait,,,,0.0,2.0969,2.0969,F,opportunity_cost:-2.0969
4,utility_tunneler_vs_phase_player,5,player,utility_tunneler,2,wait,,,,0.0,0.4756,0.4756,F,opportunity_cost:-0.4756
4,utility_tunneler_vs_phase_player,5,player,utility_tunneler,3,wait,,,,0.0,0.3887,0.3887,F,opportunity_cost:-0.3887
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,1,tunnel_entrance,"(-3, 1)",,,0.2466,2.2098,1.9632,F,resource_fit:0.0417|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0050|collapse_risk:-0.0000|territory_pressure:0.0499|opportunity_cost:-1.9632
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,1,tunnel_entrance,"(-2, 1)",,,0.2466,2.2098,1.9632,F,resource_fit:0.0417|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0050|collapse_risk:-0.0000|territory_pressure:0.0499|opportunity_cost:-1.9632
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,1,tunnel_entrance,"(-1, 0)",,,0.1966,2.2098,2.0132,F,resource_fit:0.0417|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0050|collapse_risk:-0.0000|territory_pressure:0.0499|opportunity_cost:-2.0132
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,1,tunnel_extend,"(-3, 1)","(-2, 0)",,0.1324,2.2098,2.0773,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0075|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0499|opportunity_cost:-2.0773
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,1,tunnel_extend,"(-2, 1)","(-2, 0)",,0.1324,2.2098,2.0773,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0075|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0499|opportunity_cost:-2.0773
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,1,tunnel_extend,"(-1, 0)","(-2, 0)",,0.1324,2.2098,2.0773,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0075|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0499|opportunity_cost:-2.0773
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,1,wait,,,,0.0,2.2098,2.2098,F,opportunity_cost:-2.2098
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,2,tunnel_entrance,"(-3, 1)",,,0.2222,0.15,0.0,T,resource_fit:0.0208|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0042|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.0000
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,2,tunnel_entrance,"(-2, 1)",,,0.2222,0.15,0.0,F,resource_fit:0.0208|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0042|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.0000
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,2,tunnel_entrance,"(-1, 0)",,,0.2222,0.15,0.0,F,resource_fit:0.0208|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0042|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.0000
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,2,tunnel_extend,"(-3, 1)","(-2, 0)",,0.1118,0.15,0.0382,F,resource_fit:0.0250|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0062|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.0382
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,2,tunnel_extend,"(-2, 1)","(-2, 0)",,0.1118,0.15,0.0382,F,resource_fit:0.0250|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0062|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.0382
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,2,tunnel_extend,"(-1, -1)","(-2, 0)",,0.1118,0.15,0.0382,F,resource_fit:0.0250|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0062|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.0382
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,2,tunnel_extend,"(-1, 0)","(-2, 0)",,0.1118,0.15,0.0382,F,resource_fit:0.0250|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0062|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.0382
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,2,wait,,,,0.0,0.15,0.15,F,opportunity_cost:-0.1500
4,utility_tunneler_vs_phase_player,6,player,utility_tunneler,3,wait,,,,0.0,0.15,0.15,T,opportunity_cost:-0.1500
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,1,tunnel_entrance,"(-2, 1)",,,0.2472,0.537,0.2898,F,resource_fit:0.0417|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0083|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.2898
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,1,tunnel_entrance,"(-1, -1)",,,0.1972,0.537,0.3398,F,resource_fit:0.0417|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0083|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.3398
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,1,tunnel_entrance,"(-1, 0)",,,0.2472,0.537,0.2898,F,resource_fit:0.0417|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0083|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.2898
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,1,tunnel_extend,"(-2, 0)","(-3, 1)",,0.0764,0.537,0.4606,F,resource_fit:0.0417|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0125|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.4606
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,1,tunnel_extend,"(-2, 1)","(-3, 1)",,0.1347,0.537,0.4023,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0125|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.4023
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,1,tunnel_extend,"(-3, 1)","(-2, 0)",,0.0764,0.537,0.4606,F,resource_fit:0.0417|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0125|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.4606
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,1,tunnel_extend,"(-2, 1)","(-2, 0)",,0.1347,0.537,0.4023,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0125|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.4023
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,1,tunnel_extend,"(-1, -1)","(-2, 0)",,0.1347,0.537,0.4023,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0125|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.4023
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,1,tunnel_extend,"(-1, 0)","(-2, 0)",,0.1347,0.537,0.4023,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0125|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0472|opportunity_cost:-0.4023
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,1,wait,,,,0.0,0.537,0.537,F,opportunity_cost:-0.5370
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,2,tunnel_entrance,"(-2, 1)",,,0.2363,0.15,0.0,F,resource_fit:0.0417|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0071|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0000
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,2,tunnel_entrance,"(-1, -1)",,,0.1863,0.15,0.0,F,resource_fit:0.0417|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0071|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0000
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,2,tunnel_entrance,"(-1, 0)",,,0.2863,0.15,0.0,T,resource_fit:0.0417|tunnel_access_gain:0.2000|enemy_tunnel_threat:0.0071|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0000
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,2,tunnel_extend,"(-2, 0)","(-3, 1)",,0.0649,0.15,0.0851,F,resource_fit:0.0417|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0107|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0851
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,2,tunnel_extend,"(-2, 1)","(-3, 1)",,0.1232,0.15,0.0268,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0107|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0268
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,2,tunnel_extend,"(-3, 1)","(-2, 0)",,0.0649,0.15,0.0851,F,resource_fit:0.0417|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0107|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0851
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,2,tunnel_extend,"(-2, 1)","(-2, 0)",,0.1232,0.15,0.0268,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0107|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0268
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,2,tunnel_extend,"(-1, -1)","(-2, 0)",,0.1232,0.15,0.0268,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0107|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0268
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,2,tunnel_extend,"(-1, 0)","(-2, 0)",,0.1232,0.15,0.0268,F,resource_fit:0.0417|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0107|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0268
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,2,wait,,,,0.0,0.15,0.15,F,opportunity_cost:-0.1500
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_entrance,"(-2, 1)",,,0.2086,0.15,0.0,T,resource_fit:0.0104|tunnel_access_gain:0.1500|enemy_tunnel_threat:0.0107|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0000
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_entrance,"(-1, -1)",,,0.1586,0.15,0.0,F,resource_fit:0.0104|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0107|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0000
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(-2, 0)","(-3, 1)",,0.0452,0.15,0.1048,F,resource_fit:0.0167|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.1048
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(-2, 1)","(-3, 1)",,0.1036,0.15,0.0464,F,resource_fit:0.0167|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0464
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(-3, 1)","(-2, 0)",,0.0452,0.15,0.1048,F,resource_fit:0.0167|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.1048
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(-2, 1)","(-2, 0)",,0.1036,0.15,0.0464,F,resource_fit:0.0167|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0464
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(-1, -1)","(-2, 0)",,0.1036,0.15,0.0464,F,resource_fit:0.0167|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0464
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(-1, 0)","(-2, 0)",,0.0452,0.15,0.1048,F,resource_fit:0.0167|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.1048
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(-2, 0)","(-1, 0)",,0.0452,0.15,0.1048,F,resource_fit:0.0167|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.1048
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(-2, 1)","(-1, 0)",,0.1036,0.15,0.0464,F,resource_fit:0.0167|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0464
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(-1, -1)","(-1, 0)",,0.1036,0.15,0.0464,F,resource_fit:0.0167|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0464
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(-1, 1)","(-1, 0)",,0.1036,0.15,0.0464,F,resource_fit:0.0167|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0464
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(0, -1)","(-1, 0)",,0.1036,0.15,0.0464,F,resource_fit:0.0167|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0464
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,tunnel_extend,"(0, 0)","(-1, 0)",,0.1036,0.15,0.0464,F,resource_fit:0.0167|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0161|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0375|opportunity_cost:-0.0464
4,utility_tunneler_vs_phase_player,7,player,utility_tunneler,3,wait,,,,0.0,0.15,0.15,F,opportunity_cost:-0.1500
4,utility_tunneler_vs_phase_player,8,player,utility_tunneler,1,tunnel_extend,"(-2, 0)","(-3, 1)",,0.109,1.9704,1.8614,F,resource_fit:0.0333|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0225|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0781|opportunity_cost:-1.8614
4,utility_tunneler_vs_phase_player,8,player,utility_tunneler,1,tunnel_extend,"(-2, 1)","(-3, 1)",,0.1673,1.9704,1.8031,F,resource_fit:0.0333|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0225|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0781|opportunity_cost:-1.8031
4,utility_tunneler_vs_phase_player,8,player,utility_tunneler,1,tunnel_extend,"(-3, 1)","(-2, 0)",,0.109,1.9704,1.8614,F,resource_fit:0.0333|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0225|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0781|opportunity_cost:-1.8614
4,utility_tunneler_vs_phase_player,8,player,utility_tunneler,1,tunnel_extend,"(-2, 1)","(-2, 0)",,0.1673,1.9704,1.8031,F,resource_fit:0.0333|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0225|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0781|opportunity_cost:-1.8031
4,utility_tunneler_vs_phase_player,8,player,utility_tunneler,1,tunnel_extend,"(-1, -1)","(-2, 0)",,0.1673,1.9704,1.8031,F,resource_fit:0.0333|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0225|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0781|opportunity_cost:-1.8031
4,utility_tunneler_vs_phase_player,8,player,utility_tunneler,1,tunnel_extend,"(-1, 0)","(-2, 0)",,0.1673,1.9704,1.8031,F,resource_fit:0.0333|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0225|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0781|opportunity_cost:-1.8031
4,utility_tunneler_vs_phase_player,8,player,utility_tunneler,1,wait,,,,0.0,1.9704,1.9704,F,opportunity_cost:-1.9704
4,utility_tunneler_vs_phase_player,8,player,utility_tunneler,2,wait,,,,0.0,0.15,0.15,T,opportunity_cost:-0.1500
4,utility_tunneler_vs_phase_player,8,player,utility_tunneler,3,wait,,,,0.0,0.15,0.15,T,opportunity_cost:-0.1500
4,utility_tunneler_vs_phase_player,9,player,utility_tunneler,1,tunnel_entrance,"(-2, -1)",,,0.2504,0.5854,0.3349,F,resource_fit:0.0625|tunnel_access_gain:0.1000|enemy_tunnel_threat:0.0125|collapse_risk:-0.0000|territory_pressure:0.0754|opportunity_cost:-0.3349
4,utility_tunneler_vs_phase_player,9,player,utility_tunneler,1,tunnel_extend,"(-2, 0)","(-3, 1)",,0.1275,0.5854,0.4579,F,resource_fit:0.0583|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0187|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0754|opportunity_cost:-0.4579
4,utility_tunneler_vs_phase_player,9,player,utility_tunneler,1,tunnel_extend,"(-2, 1)","(-3, 1)",,0.1859,0.5854,0.3995,F,resource_fit:0.0583|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0187|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0754|opportunity_cost:-0.3995
4,utility_tunneler_vs_phase_player,9,player,utility_tunneler,1,tunnel_extend,"(-3, 1)","(-2, 0)",,0.1275,0.5854,0.4579,F,resource_fit:0.0583|tunnel_access_gain:0.0000|enemy_tunnel_threat:0.0187|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0754|opportunity_cost:-0.4579
4,utility_tunneler_vs_phase_player,9,player,utility_tunneler,1,tunnel_extend,"(-2, -1)","(-2, 0)",,0.1859,0.5854,0.3995,F,resource_fit:0.0583|tunnel_access_gain:0.0583|enemy_tunnel_threat:0.0187|own_tunnel_pressure:-0.0250|collapse_risk:-0.0000|territory_pressure:0.0754|opportunity_cost:-0.3995
